labels,pred_prob
0,0.194936
0,0.0
0,0.137199
0,0.0
0,0.047461
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.119144
0,0.0
0,0.0
0,0.0
0,0.002087
0,0.0
0,0.0
0,1e-06
0,0.306029
0,0.0
0,0.0
0,0.0
0,0.982049
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.015314
0,0.0
0,0.0
0,1e-06
0,0.0
0,7e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.97373
0,0.0
0,0.027612
0,0.985573
0,0.0
0,0.0
0,0.960928
0,0.0
0,6e-06
0,0.0
0,0.0
0,0.0
0,0.582364
0,0.0
0,0.0
0,0.0
0,0.0
0,0.934099
0,5e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,1e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.867955
0,0.0
0,0.0
0,0.0
0,0.0
1,0.009534
0,0.0
0,0.001449
0,0.0
0,0.0
0,0.0
0,0.0
0,1.3e-05
0,0.473219
0,6e-06
0,0.0
0,0.0
1,0.956267
0,0.105556
0,0.960906
0,0.0
0,0.0
0,0.0
0,0.0
0,4e-06
0,0.0
0,1.1e-05
0,0.0
0,0.003798
0,0.25464
0,0.0
0,0.0
0,0.105737
0,0.0
0,0.0
0,0.0
0,1.2e-05
0,0.000105
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.068614
0,0.0
0,0.000288
0,0.0
0,0.309031
0,9e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.934739
0,0.0
0,0.989071
0,0.0
0,0.874629
0,0.0
0,0.0
0,1e-06
0,2e-06
0,0.859379
0,0.0
0,0.0
0,0.0
0,0.0
0,1e-06
0,0.0
0,0.0
0,0.0
0,0.0
1,0.157513
0,0.0
0,0.0
0,0.0
0,0.0
0,2.4e-05
0,0.0
0,0.98456
0,0.0
0,0.727187
0,0.0
0,0.0
0,0.843544
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.983277
0,0.0
0,0.0
0,0.0
0,0.001626
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003341
0,0.0
0,9e-06
0,0.0
0,0.015314
0,0.0
0,0.0
0,0.209493
0,2e-06
0,0.0
0,0.0
0,1e-06
0,0.0
0,0.0
0,0.0
0,0.985573
0,1.8e-05
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,1e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.945049
0,0.0
0,0.291362
0,0.0
0,0.0
0,2e-06
0,1e-06
0,0.298187
0,0.0
0,0.0
0,0.006066
0,0.306029
0,0.0
0,0.002601
0,0.0
0,0.0
0,0.027389
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.027123
0,0.0
0,0.0
0,0.0
0,0.0
0,0.005339
0,0.0
0,3e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,5e-06
0,0.0
0,0.0
0,0.0
0,0.423774
0,1e-05
0,0.0
0,0.034792
0,0.0
0,0.0
0,0.78898
0,1e-06
0,0.0
0,0.0
1,0.99878
0,0.0
0,0.0
0,0.036533
0,0.0
0,0.0
0,0.0
0,0.320167
0,0.0
0,0.0
0,0.0
0,0.0
0,0.045617
0,1e-06
0,0.0
0,0.0
0,0.006066
0,0.0
0,0.0
0,3.1e-05
0,0.0
0,0.078022
0,0.0
0,0.0
0,0.212268
0,0.0
0,2e-06
0,0.0
0,3e-06
1,0.008733
